elapsed_sec,joint_name,position,velocity,effort
335.841052758,joint_5,0.799980387,nan,nan
335.841052758,joint_6,-0.000002368,nan,nan
335.862117557,joint_1,-0.000001233,nan,nan
335.862117557,joint_2,-0.799980420,nan,nan
335.862117557,joint_3,1.200003830,nan,nan
335.862117557,joint_4,0.000020847,nan,nan
335.862117557,joint_5,0.799980387,nan,nan
335.862117557,joint_6,-0.000002368,nan,nan
335.887780457,joint_1,-0.000001233,nan,nan
335.887780457,joint_2,-0.799980420,nan,nan
335.887780457,joint_3,1.200003830,nan,nan
335.887780457,joint_4,0.000020847,nan,nan
335.887780457,joint_5,0.799980387,nan,nan
335.887780457,joint_6,-0.000002368,nan,nan
335.912152456,joint_1,-0.000001233,nan,nan
335.912152456,joint_2,-0.799980420,nan,nan
335.912152456,joint_3,1.200003830,nan,nan
335.912152456,joint_4,0.000020847,nan,nan
335.912152456,joint_5,0.799980387,nan,nan
335.912152456,joint_6,-0.000002368,nan,nan
335.940864756,joint_1,-0.000001233,nan,nan
335.940864756,joint_2,-0.799980420,nan,nan
335.940864756,joint_3,1.200003830,nan,nan
335.940864756,joint_4,0.000020847,nan,nan
335.940864756,joint_5,0.799980387,nan,nan
335.940864756,joint_6,-0.000002368,nan,nan
335.963070356,joint_1,-0.000001233,nan,nan
335.963070356,joint_2,-0.799980420,nan,nan
335.963070356,joint_3,1.200003830,nan,nan
335.963070356,joint_4,0.000020847,nan,nan
335.963070356,joint_5,0.799980387,nan,nan
335.963070356,joint_6,-0.000002368,nan,nan
336.002852455,joint_1,-0.000001233,nan,nan
336.002852455,joint_2,-0.799980420,nan,nan
336.002852455,joint_3,1.200003830,nan,nan
336.002852455,joint_4,0.000020847,nan,nan
336.002852455,joint_5,0.799980387,nan,nan
336.002852455,joint_6,-0.000002368,nan,nan
336.048916254,joint_1,-0.000001233,nan,nan
336.048916254,joint_2,-0.799980420,nan,nan
336.048916254,joint_3,1.200003830,nan,nan
336.048916254,joint_4,0.000020847,nan,nan
336.048916254,joint_5,0.799980387,nan,nan
