stamp_s,max_abs_position_error_rad,rms_position_error_rad,joint_1_reference_rad,joint_1_feedback_rad,joint_1_error_rad,joint_2_reference_rad,joint_2_feedback_rad,joint_2_error_rad,joint_3_reference_rad,joint_3_feedback_rad,joint_3_error_rad,joint_4_reference_rad,joint_4_feedback_rad,joint_4_error_rad,joint_5_reference_rad,joint_5_feedback_rad,joint_5_error_rad,joint_6_reference_rad,joint_6_feedback_rad,joint_6_error_rad
153.824000000,0.002319557,0.001439948,0.000000000,0.001430074,-0.001430074,-0.800000000,-0.799747873,-0.000252127,1.200000000,1.198312838,0.001687162,0.000000000,-0.002319557,0.002319557,0.800000000,0.798966276,0.001033724,0.000000000,0.001018128,-0.001018128
153.829000000,0.011400467,0.005031731,0.000000000,0.001909534,-0.001909534,-0.800000000,-0.799588128,-0.000411872,1.200000000,1.197728394,0.002271606,0.000000000,0.002526644,-0.002526644,0.800000000,0.802564985,-0.002564985,0.000000000,-0.011400467,0.011400467
153.832000000,0.006716297,0.003054107,0.000000000,0.002144662,-0.002144662,-0.800000000,-0.800322414,0.000322414,1.200000000,1.200835481,-0.000835481,0.000000000,-0.002114464,0.002114464,0.800000000,0.793283703,0.006716297,0.000000000,0.000992094,-0.000992094
153.836000000,0.012192782,0.005461987,0.000000000,0.001627200,-0.001627200,-0.800000000,-0.800095686,0.000095686,1.200000000,1.200130637,-0.000130637,0.000000000,0.004640606,-0.004640606,0.800000000,0.802475211,-0.002475211,0.000000000,-0.012192782,0.012192782
153.840000000,0.001677963,0.000949839,0.000000000,0.000964774,-0.000964774,-0.800000000,-0.799190367,-0.000809633,1.200000000,1.199771129,0.000228871,0.000000000,0.001677963,-0.001677963,0.800000000,0.799118062,0.000881938,0.000000000,-0.000425577,0.000425577
153.844000000,0.009913436,0.004336115,0.000000000,-0.000034210,0.000034210,-0.800000000,-0.798367865,-0.001632135,1.200000000,1.199803622,0.000196378,0.000000000,-0.003373081,0.003373081,0.800000000,0.800673701,-0.000673701,0.000000000,0.009913436,-0.009913436
153.848000000,0.006208609,0.002966841,0.000000000,-0.001016506,0.001016506,-0.800000000,-0.798470876,-0.001529124,1.200000000,1.202310190,-0.002310190,0.000000000,-0.001965771,0.001965771,0.800000000,0.793791391,0.006208609,0.000000000,0.001301273,-0.001301273
153.852000000,0.012280907,0.005626489,0.000000000,-0.001631973,0.001631973,-0.800000000,-0.798372429,-0.001627571,1.200000000,1.202744747,-0.002744747,0.000000000,0.005039188,-0.005039188,0.800000000,0.800940344,-0.000940344,0.000000000,-0.012280907,0.012280907
153.856000000,0.004633047,0.002753891,0.000000000,-0.001457079,0.001457079,-0.800000000,-0.798493862,-0.001506138,1.200000000,1.204633047,-0.004633047,0.000000000,0.000465944,-0.000465944,0.800000000,0.795594828,0.004405172,0.000000000,0.000155523,-0.000155523
153.860000000,0.006966716,0.003800302,0.000000000,-0.000857486,0.000857486,-0.800000000,-0.798342799,-0.001657201,1.200000000,1.204642019,-0.004642019,0.000000000,-0.003352957,0.003352957,0.800000000,0.801358821,-0.001358821,0.000000000,-0.006966716,0.006966716
