elapsed_sec,level,status
6.074562916,OK,OK: joint states valid during phase uninitialized
6.094612116,OK,OK: joint states valid during phase uninitialized
6.119098016,OK,OK: joint states valid during phase uninitialized
6.138042816,OK,OK: joint states valid during phase uninitialized
6.158996916,OK,OK: joint states valid during phase uninitialized
6.187105716,OK,OK: joint states valid during phase uninitialized
6.206520516,OK,OK: joint states valid during phase uninitialized
6.210873216,WARNING,WARNING: waiting for first /task_phase message
6.231098016,OK,OK: joint states valid during phase uninitialized
6.251956417,OK,OK: joint states valid during phase uninitialized
6.271810817,OK,OK: joint states valid during phase uninitialized
6.293412917,OK,OK: joint states valid during phase uninitialized
6.313399517,OK,OK: joint states valid during phase uninitialized
6.333120717,OK,OK: joint states valid during phase uninitialized
6.356760417,OK,OK: joint states valid during phase uninitialized
6.376029617,OK,OK: joint states valid during phase uninitialized
6.396313817,OK,OK: joint states valid during phase uninitialized
6.413085817,WARNING,WARNING: waiting for first /task_phase message
6.417212817,OK,OK: joint states valid during phase uninitialized
6.438821118,OK,OK: joint states valid during phase uninitialized
6.459039818,OK,OK: joint states valid during phase uninitialized
6.481456418,OK,OK: joint states valid during phase uninitialized
6.505637818,OK,OK: joint states valid during phase uninitialized
6.548163618,OK,OK: joint states valid during phase uninitialized
6.578612618,OK,OK: joint states valid during phase uninitialized
6.610992318,WARNING,WARNING: waiting for first /task_phase message
6.617670018,OK,OK: joint states valid during phase uninitialized
6.649875919,OK,OK: joint states valid during phase uninitialized
6.674631219,OK,OK: joint states valid during phase uninitialized
6.706271619,OK,OK: joint states valid during phase uninitialized
6.728547819,OK,OK: joint states valid during phase uninitialized
6.757470619,OK,OK: joint states valid during phase uninitialized
6.803362819,OK,OK: joint states valid during phase uninitialized
6.810823819,WARNING,WARNING: waiting for first /task_phase message
6.825232119,OK,OK: joint states valid during phase uninitialized
6.854630720,OK,OK: joint states valid during phase uninitialized
6.883018520,OK,OK: joint states valid during phase uninitialized
6.912816920,OK,OK: joint states valid during phase uninitialized
6.933543520,OK,OK: joint states valid during phase uninitialized
6.958271820,OK,OK: joint states valid during phase uninitialized
6.985071320,OK,OK: joint states valid during phase uninitialized
7.012304020,OK,OK: joint states valid during phase uninitialized
7.012657320,WARNING,WARNING: waiting for first /task_phase message
7.031752720,OK,OK: joint states valid during phase uninitialized
7.056854621,OK,OK: joint states valid during phase uninitialized
7.081184521,OK,OK: joint states valid during phase uninitialized
7.102349221,OK,OK: joint states valid during phase uninitialized
7.121435921,OK,OK: joint states valid during phase uninitialized
7.142379321,OK,OK: joint states valid during phase uninitialized
7.166037921,OK,OK: joint states valid during phase uninitialized
7.186358221,OK,OK: joint states valid during phase uninitialized
7.208614821,OK,OK: joint states valid during phase uninitialized
7.210913521,WARNING,WARNING: waiting for first /task_phase message
7.229270321,OK,OK: joint states valid during phase uninitialized
7.253725822,OK,OK: joint states valid during phase uninitialized
7.278010522,OK,OK: joint states valid during phase uninitialized
7.299930122,OK,OK: joint states valid during phase uninitialized
7.326695522,OK,OK: joint states valid during phase uninitialized
7.344906622,OK,OK: joint states valid during phase uninitialized
7.368604022,OK,OK: joint states valid during phase uninitialized
7.392681822,OK,OK: joint states valid during phase uninitialized
7.410956922,WARNING,WARNING: waiting for first /task_phase message
7.414423122,OK,OK: joint states valid during phase uninitialized
7.434772322,OK,OK: joint states valid during phase uninitialized
7.458104823,OK,OK: joint states valid during phase uninitialized
7.480095223,OK,OK: joint states valid during phase uninitialized
7.503337523,OK,OK: joint states valid during phase uninitialized
7.525670723,OK,OK: joint states valid during phase uninitialized
7.546664523,OK,OK: joint states valid during phase uninitialized
7.570204323,OK,OK: joint states valid during phase uninitialized
7.595544423,OK,OK: joint states valid during phase uninitialized
7.610835023,WARNING,WARNING: waiting for first /task_phase message
7.616467523,OK,OK: joint states valid during phase uninitialized
7.640133323,OK,OK: joint states valid during phase uninitialized
7.662505524,OK,OK: joint states valid during phase uninitialized
7.681840124,OK,OK: joint states valid during phase uninitialized
7.708324324,OK,OK: joint states valid during phase uninitialized
7.729848224,OK,OK: joint states valid during phase uninitialized
7.753746524,OK,OK: joint states valid during phase uninitialized
7.773374924,OK,OK: joint states valid during phase uninitialized
7.794688924,OK,OK: joint states valid during phase uninitialized
7.811115824,WARNING,WARNING: waiting for first /task_phase message
7.819012224,OK,OK: joint states valid during phase uninitialized
7.846628724,OK,OK: joint states valid during phase uninitialized
7.867684925,OK,OK: joint states valid during phase uninitialized
7.887461125,OK,OK: joint states valid during phase uninitialized
7.911545425,OK,OK: joint states valid during phase uninitialized
7.931271225,OK,OK: joint states valid during phase uninitialized
7.955046925,OK,OK: joint states valid during phase uninitialized
7.975120825,OK,OK: joint states valid during phase uninitialized
7.998859525,OK,OK: joint states valid during phase uninitialized
8.010976625,WARNING,WARNING: waiting for first /task_phase message
8.019929425,OK,OK: joint states valid during phase uninitialized
8.044047025,OK,OK: joint states valid during phase uninitialized
8.064692026,OK,OK: joint states valid during phase uninitialized
8.085962026,OK,OK: joint states valid during phase uninitialized
8.104662126,OK,OK: joint states valid during phase uninitialized
8.125531926,OK,OK: joint states valid during phase uninitialized
8.149747826,OK,OK: joint states valid during phase uninitialized
8.170000326,OK,OK: joint states valid during phase uninitialized
8.193250826,OK,OK: joint states valid during phase uninitialized
8.210777726,WARNING,WARNING: waiting for first /task_phase message
8.212413926,OK,OK: joint states valid during phase uninitialized
8.235752226,OK,OK: joint states valid during phase uninitialized
8.263349027,OK,OK: joint states valid during phase uninitialized
8.283822227,OK,OK: joint states valid during phase uninitialized
8.306036927,OK,OK: joint states valid during phase uninitialized
8.327412527,OK,OK: joint states valid during phase uninitialized
8.348057127,OK,OK: joint states valid during phase uninitialized
8.368798127,OK,OK: joint states valid during phase uninitialized
8.402856927,OK,OK: joint states valid during phase uninitialized
8.411603227,WARNING,WARNING: waiting for first /task_phase message
8.442149527,OK,OK: joint states valid during phase uninitialized
8.462434028,OK,OK: joint states valid during phase uninitialized
8.493537328,OK,OK: joint states valid during phase uninitialized
8.516965628,OK,OK: joint states valid during phase uninitialized
8.545604028,OK,OK: joint states valid during phase uninitialized
8.581905128,OK,OK: joint states valid during phase uninitialized
8.612183328,WARNING,WARNING: waiting for first /task_phase message
8.621355928,OK,OK: joint states valid during phase uninitialized
8.642602828,OK,OK: joint states valid during phase uninitialized
8.687086629,OK,OK: joint states valid during phase uninitialized
8.714018129,OK,OK: joint states valid during phase uninitialized
8.735355629,OK,OK: joint states valid during phase uninitialized
8.766435429,OK,OK: joint states valid during phase uninitialized
8.791995129,OK,OK: joint states valid during phase uninitialized
8.811353329,WARNING,WARNING: waiting for first /task_phase message
8.820105329,OK,OK: joint states valid during phase uninitialized
8.845653429,OK,OK: joint states valid during phase uninitialized
8.872037630,OK,OK: joint states valid during phase uninitialized
8.898594630,OK,OK: joint states valid during phase uninitialized
8.921009030,OK,OK: joint states valid during phase uninitialized
8.942022030,OK,OK: joint states valid during phase uninitialized
8.967600430,OK,OK: joint states valid during phase uninitialized
8.990360230,OK,OK: joint states valid during phase uninitialized
9.011215030,WARNING,WARNING: waiting for first /task_phase message
9.013806530,OK,OK: joint states valid during phase uninitialized
9.036706830,OK,OK: joint states valid during phase uninitialized
9.062408931,OK,OK: joint states valid during phase uninitialized
9.096545431,OK,OK: joint states valid during phase uninitialized
9.126533931,OK,OK: joint states valid during phase uninitialized
9.167688031,OK,OK: joint states valid during phase uninitialized
9.192649531,OK,OK: joint states valid during phase uninitialized
9.211199431,WARNING,WARNING: waiting for first /task_phase message
9.222615331,OK,OK: joint states valid during phase uninitialized
9.255951031,OK,OK: joint states valid during phase uninitialized
9.279362732,OK,OK: joint states valid during phase uninitialized
9.308590732,OK,OK: joint states valid during phase uninitialized
9.333581032,OK,OK: joint states valid during phase uninitialized
9.356173932,OK,OK: joint states valid during phase uninitialized
9.382509932,OK,OK: joint states valid during phase uninitialized
